brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
40618.0,for_sale,239800.0,3.0,2.0,0.28,1693508.0,Graham,North Carolina,27253.0,1105.0,2021-10-22
8448.0,for_sale,32000.0,,,0.82,99962.0,Coal Township,Pennsylvania,17866.0,,
42349.0,for_sale,60000.0,2.0,2.0,0.08,1432411.0,Memphis,Tennessee,38141.0,,2018-11-16
10838.0,sold,230000.0,2.0,2.0,0.3,1678519.0,Pittsburgh,Pennsylvania,15237.0,884.0,2022-02-09
78258.0,for_sale,580790.0,3.0,3.0,0.16,1583072.0,Greeley,Colorado,80634.0,3519.0,2022-02-08
23797.0,for_sale,260000.0,3.0,2.0,0.21,535011.0,Clarksville,Tennessee,37042.0,2656.0,2022-01-18
84906.0,for_sale,580000.0,3.0,4.0,,792673.0,Saline,Michigan,48176.0,2095.0,
7118.0,for_sale,225000.0,1.0,1.0,,1819699.0,Littleton,Colorado,80128.0,495.0,2002-06-13
24034.0,sold,560000.0,3.0,3.0,,1071264.0,Foxboro,Massachusetts,2035.0,1888.0,2022-03-14
94283.0,for_sale,219900.0,,,0.33,1840021.0,Fall River,Massachusetts,2720.0,,
109986.0,sold,195000.0,1.0,1.0,,29518.0,Portland,Oregon,97205.0,415.0,2022-03-01
19462.0,for_sale,22900.0,,,0.24,1580245.0,Fremont,Indiana,46737.0,,
10432.0,sold,350000.0,2.0,2.0,0.12,863964.0,Saint Cloud,Florida,34771.0,1579.0,2021-12-01
11141.0,for_sale,39500.0,,,1.0,1876643.0,Franklin,Maine,4634.0,,
75686.0,for_sale,278500.0,5.0,3.0,0.27,1067658.0,Derby,Kansas,67037.0,2284.0,
76480.0,for_sale,699999.0,3.0,3.0,0.09,1286209.0,Elmont,New York,11003.0,,1991-12-24
25224.0,sold,359900.0,5.0,2.0,0.17,1018938.0,Woonsocket,Rhode Island,2895.0,3987.0,2022-03-23
78350.0,for_sale,509900.0,6.0,8.0,0.31,1143718.0,Catawissa,Pennsylvania,17820.0,2048.0,1999-06-22
82444.0,sold,225000.0,2.0,2.0,0.17,901312.0,Lewisville,Texas,75067.0,1143.0,2022-01-27
33755.0,for_sale,499000.0,6.0,5.0,0.5,1639261.0,Lubbock,Texas,79424.0,3161.0,2021-11-10
105021.0,sold,75000.0,,,0.4,72061.0,Mableton,Georgia,30126.0,,2021-11-22
35638.0,for_sale,359000.0,2.0,3.0,0.04,264495.0,Palatine,Illinois,60067.0,1800.0,
97464.0,for_sale,92900.0,,,1.07,1955032.0,Ridgway,Colorado,81432.0,,
104803.0,ready_to_build,814999.0,5.0,,,1404217.0,Flower Mound,Texas,75028.0,3530.0,
81682.0,sold,238500.0,3.0,3.0,4.4,963493.0,Marietta,Ohio,45750.0,1713.0,2022-03-22
21787.0,for_sale,643000.0,2.0,2.0,0.18,1090529.0,Saint James City,Florida,33956.0,1600.0,2014-07-30
16829.0,sold,850000.0,4.0,2.0,0.17,460263.0,Shoreline,Washington,98133.0,2340.0,2022-03-08
96817.0,sold,350000.0,1.0,1.0,,140757.0,Alexandria,Virginia,22314.0,624.0,2022-02-25
10740.0,for_sale,549900.0,2.0,2.0,,20480.0,Belleair,Florida,33756.0,1395.0,2021-12-01
